source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit
!a0cc6f74	!b87950d3	[2358775987,3102319443,873705748,1481930160,2878478702,2244341163]	[19,-55,-50,-43,-36,-36]	[]	[]	1782603070	7	1
!a0cc6f74	!b87950d3	[2358775987,3102319443,873705748,1481930160,2878478702,178191164,3461879968]	[19,-55,-50,-43,-36,-8,-51]	[]	[]	1782603082	7	\N
!ba76ec7c	!ee78153f	[1256929643,4226746274,501818444]	[43,4,6]	[]	[]	1782603228	5	3
!ba76ec7c	!ee78153f	[1256929643,4226746274]	[43,4]	[]	[]	1782603228	5	3
!ba76ec7c	!f66f10d0	[4226746274,501818444]	[-38,33]	[]	[]	1782603287	5	4
!ba76ec7c	!be14dbf8	[3662013048,3174462519]	[40,-16]	[]	[]	1782603346	5	3
!31289b4a	!a2ebb2ec	[1419604483,382653020]	[-14,8]	[]	[]	1782603360	7	6
!31289b4a	!a2ebb2ec	[1419604483]	[-14]	[]	[]	1782603361	7	6
!31289b4a	!a2ebb2ec	[1419604483,4134128864]	[-14,-2]	[]	[]	1782603361	7	6
!a2ebb2ec	!31289b4a	[1419604483]	[-14,-48]	[2086340980]	[44]	1782603361	3	3
!a2ebb2ec	!31289b4a	[1419604483]	[-14,-48]	[1827327771]	[-5]	1782603362	3	2
!a2ebb2ec	!31289b4a	[1419604483]	[-14,-48]	[1827327771,2514534887,463541796]	[-5,18,-51]	1782603362	3	2
!a2ebb2ec	!31289b4a	[1419604483]	[-14,-48]	[1827327771,2514534887,3679577712]	[-5,18,-54]	1782603363	3	1
!a2ebb2ec	!31289b4a	[1419604483]	[-14,-48]	[1827327771,2514534887,3174462519]	[-5,18,-54]	1782603364	3	1
!a2ebb2ec	!31289b4a	[1419604483]	[-14,-48]	[1827327771,2514534887,463572008,4226746274,501818444]	[-5,18,-62,29,33]	1782603367	3	\N
!a2ebb2ec	!31289b4a	[1419604483]	[-14,-48]	[1827327771,4057180619,4015528845]	[-5,37,20]	1782603367	3	1
!a0cc6f74	!7aad1435	[2358775987,447655011,178191164]	[17,-75,-38]	[]	[]	1782603918	7	4
!a0cc6f74	!7aad1435	[2358775987,447655011,178191164,3461879968]	[17,-75,-38,-57]	[]	[]	1782603921	7	3
!7aad1435	!a0cc6f74	[2358775987,447655011,178191164]	[17,-75,-38,-7]	[4294967295,3317224028]	[-128,-25]	1782603933	3	1
!7aad1435	!a0cc6f74	[2358775987,447655011,178191164]	[17,-75,-38,-7]	[4294967295,3317224028]	[-128,-25]	1782603933	3	1
!7aad1435	!a0cc6f74	[2358775987,447655011,178191164]	[17,-75,-38,-7]	[4294967295,178191164,3461879968]	[-128,-43,-51]	1782603934	3	\N
!a0cc6f74	!7aad1435	[2358775987,447655011,178191164,2471210603,2050093032,67553744]	[17,-75,-38,-62,-23,-32]	[]	[]	1782603954	7	2
!a0cc6f74	!7aad1435	[2358775987,447655011,178191164,2471210603,2050093032,2499610159]	[17,-75,-38,-62,-23,-35]	[]	[]	1782603955	7	1
!ba76ec7c	!6ceacf1b	[4226746274]	[-2]	[]	[]	1782604301	5	4
!ba76ec7c	!6ceacf1b	[4226746274,501818444]	[-2,35]	[]	[]	1782604304	5	4
!ba76ec7c	!6ceacf1b	[4226746274]	[-2]	[]	[]	1782604304	5	4
!ba76ec7c	!6ceacf1b	[4226746274,861770332,4057180619,2514534887,463541796]	[-2,-46,1,-46,-57]	[]	[]	1782604306	5	2
!ba76ec7c	!6ceacf1b	[4226746274,861770332,4057180619,3264128436,2086340980]	[-2,-46,1,-21,-53]	[]	[]	1782604307	5	1
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[2086340980]	[33]	1782604307	5	5
!ba76ec7c	!6ceacf1b	[4226746274,861770332,4057180619,2514534887,3679577712]	[-2,-46,1,-46,-54]	[]	[]	1782604307	5	1
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[2514534887,382653020]	[12,-42]	1782604308	5	4
