proto,hour,delivered,sent
GRADCOR,64,95,183
GRADCOR,65,89,182
GRADCOR,66,102,192
GRADCOR,67,84,164
GRADCOR,68,80,173
GRADCOR,69,91,171
GRADCOR,70,92,169
GRADCOR,71,93,157
GRADCOR,72,88,198
GRADCOR,73,92,188
GRADCOR,74,97,184
GRADCOR,75,112,193
GRADCOR,76,105,192
GRADCOR,77,94,182
GRADCOR,78,102,193
GRADCOR,79,105,187
GRADCOR,80,96,191
GRADCOR,81,97,197
GRADCOR,82,97,201
GRADCOR,83,116,210
GRADCOR,84,109,207
GRADCOR,85,98,203
GRADCOR,86,100,185
GRADCOR,87,113,198
GRADCOR,88,96,187
GRADCOR,89,104,174
GRADCOR,90,95,181
GRADCOR,91,93,162
GRADCOR,92,95,184
GRADCOR,93,91,186
GRADCOR,94,87,188
GRADCOR,95,94,185
GRADCOR,96,94,201
GRADCOR,97,102,198
GRADCOR,98,99,195
GRADCOR,99,93,189
GRADCOR,100,104,195
GRADCOR,101,103,192
GRADCOR,102,100,192
GRADCOR,103,99,182
GRADCOR,104,102,183
GRADCOR,105,94,191
GRADCOR,106,108,219
GRADCOR,107,125,215
GRADCOR,108,106,211
GRADCOR,109,103,213
GRADCOR,110,115,215
GRADCOR,111,104,190
GRADCOR,112,94,181
GRADCOR,113,87,169
GRADCOR,114,85,160
GRADCOR,115,84,152
GRADCOR,116,76,158
GRADCOR,117,82,178
GRADCOR,118,85,184
GRADCOR,119,93,188
GRADCOR,120,89,191
GRADCOR,121,80,186
GRADCOR,122,101,189
GRADCOR,123,93,186
GRADCOR,124,94,187
GRADCOR,125,89,174
GRADCOR,126,72,168
GRADCOR,127,83,168
GRADCOR,128,79,158
GRADCOR,129,94,172
GRADCOR,130,100,193
GRADCOR,131,87,164
GRADCOR,132,80,162
GRADCOR,133,83,166
GRADCOR,134,93,199
GRADCOR,135,92,200
GRADCOR,136,95,176
GRADCOR,137,92,163
GRADCOR,138,90,162
GRADCOR,139,86,152
GRADCOR,140,80,158
GRADCOR,141,90,153
GRADCOR,142,95,161
GRADCOR,143,92,160
GRADCOR,144,84,161
GRADCOR,145,84,163
GRADCOR,146,94,177
GRADCOR,147,94,194
GRADCOR,148,98,206
GRADCOR,149,104,181
GRADCOR,150,93,177
GRADCOR,151,79,172
GRADCOR,152,101,201
GRADCOR,153,99,206
GRADCOR,154,102,203
GRADCOR,155,105,202
GRADCOR,156,117,200
GRADCOR,157,99,194
GRADCOR,158,94,170
GRADCOR,159,93,167
GRADCOR,160,97,186
GRADCOR,161,94,177
GRADCOR,162,90,172
GRADCOR,163,97,172
GRADCOR,164,94,165
GRADCOR,165,93,158
GRADCOR,166,84,153
GRADCOR,167,71,119
GRADCOR-R,0,22,150
GRADCOR-R,1,24,141
GRADCOR-R,2,38,161
GRADCOR-R,3,43,160
GRADCOR-R,4,46,148
GRADCOR-R,5,57,165
GRADCOR-R,6,60,173
GRADCOR-R,7,61,176
GRADCOR-R,8,73,181
GRADCOR-R,9,82,180
GRADCOR-R,10,73,168
GRADCOR-R,11,79,182
GRADCOR-R,12,80,182
GRADCOR-R,13,89,191
GRADCOR-R,14,95,164
GRADCOR-R,15,86,174
GRADCOR-R,16,86,176
GRADCOR-R,17,79,160
GRADCOR-R,18,86,162
GRADCOR-R,19,79,164
GRADCOR-R,20,77,153
GRADCOR-R,21,86,155
GRADCOR-R,22,85,184
GRADCOR-R,23,78,178
GRADCOR-R,24,77,178
GRADCOR-R,25,85,187
GRADCOR-R,26,96,182
GRADCOR-R,27,92,179
GRADCOR-R,28,92,173
GRADCOR-R,29,82,165
GRADCOR-R,30,80,170
GRADCOR-R,31,77,167
