source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit	request_id
!b1610d41	!650cd503	[1731139699,4134538928]	[29,42]	[]	[]	1782563560	7	6	0
!b1610d41	!650cd503	[3783007151,2323964937]	[39,-23]	[]	[]	1782563561	7	6	0
!b1610d41	!650cd503	[3783007151,2323964937,1128127896,70044471,1725113834]	[39,-23,-14,48,-28]	[]	[]	1782563569	7	6	0
!a1d75fc4	!1a036b16	[1780406593,4134126952,1771823848,1770251612,1197648663]	[51,-35,31,35,-35]	[]	[]	1782563638	7	2	0
!6c73bdb4	!2bbe7f39	[501821116,1770251612,1240091804]	[52,-45,-41]	[]	[]	1782563769	7	5	0
!2bbe7f39	!6c73bdb4	[501821116,1770251612,1692561267]	[52,-45,37,-37]	[1239321485,1692561267]	[44,-19]	1782563772	3	1	0
!2bbe7f39	!6c73bdb4	[501821116,1770251612,1692561267]	[52,-45,37,-37]	[1239321485,1692561267,501821116]	[44,-19,-41]	1782563773	3	\N	0
!a1d75fc4	!8fa63a08	[1780406593,1770251612]	[49,-38]	[]	[]	1782563812	7	5	0
!a1d75fc4	!8fa63a08	[1780406593,1770251612,1240091804]	[49,-38,-37]	[]	[]	1782563813	7	5	0
!a1d75fc4	!849b62f0	[1780406593,1130030704,2658580024,2274067141]	[53,-20,-11,-42]	[]	[]	1782564177	7	3	0
!a1d75fc4	!849b62f0	[1780406593,1130030704,2658580024,2274067141,501821116]	[53,-20,-11,-42,9]	[]	[]	1782564180	7	2	0
!849b62f0	!a1d75fc4	[1780406593,1130030704,2658580024,2274067141,1770251612,3215555858,241233033]	[53,-20,-11,-42,-2,-5,-13,-23]	[241233033,67543040,391172400]	[-30,-14,-1]	1782564193	6	3	0
!849b62f0	!a1d75fc4	[1780406593,1130030704,2658580024,2274067141,1770251612,3215555858,241233033]	[53,-20,-11,-42,-2,-5,-13,-23]	[241233033,4134126952,1770251612,1197648663,501857110]	[-30,31,-16,-22,18]	1782564198	6	1	0
!f6700eb0	!e3afd8fd	[3783007151,2323964937]	[44,-18]	[]	[]	1782564330	7	6	0
!f6700eb0	!e3afd8fd	[3783007151,2323964937,70044471,1725113834]	[44,-18,47,-30]	[]	[]	1782564336	7	6	0
!b1610d41	!abd38c69	[4134538928]	[-19]	[]	[]	1782564459	7	7	0
!b1610d41	!abd38c69	[1548600466]	[61]	[]	[]	1782564459	7	7	0
!b1610d41	!abd38c69	[3783007151,2323964937]	[46,-18]	[]	[]	1782564462	7	6	0
!abd38c69	!b1610d41	[]	[-20]	[1229427302,4134538928]	[48,53]	1782564475	2	1	0
!abd38c69	!b1610d41	[]	[-20]	[1229427302,1731139699,1548600466]	[48,-23,-44]	1782564477	2	\N	0
!b1610d41	!abd38c69	[3783007151,2323964937,70044471,1725113834]	[46,-18,49,-30]	[]	[]	1782564482	7	6	0
!49479266	!abd38c69	[]	[-36]	[4134538928]	[49]	1782565012	2	2	0
!49479266	!abd38c69	[]	[-36]	[3783007151,2323964937]	[4,-20]	1782565016	2	1	0
!49479266	!abd38c69	[]	[-36]	[3783007151,2323964937,70044471,1725113834]	[4,-20,45,-29]	1782565036	2	1	0
!f6700eb0	!abd38c69	[1229427302,1731139699,3783007151,2323964937]	[48,-25,39,-20]	[]	[]	1782565234	7	5	0
!f6700eb0	!abd38c69	[1229427302,1731139699,3783007151,2323964937,70044471,1725113834]	[48,-25,39,-20,45,-30]	[]	[]	1782565236	7	5	0
!abd38c69	!f6700eb0	[1229427302]	[48,10]	[]	[-24]	1782565239	3	3	0
!abd38c69	!f6700eb0	[1229427302]	[48,10]	[1731139699,3904944005,70044471,1725113834]	[-40,-31,-25,-31]	1782565243	3	\N	0
!b1610d41	!ac5028ef	[4134538928]	[-15]	[]	[]	1782565359	7	7	0
!b1610d41	!ac5028ef	[1548600466]	[58]	[]	[]	1782565359	7	7	0
!b1610d41	!ac5028ef	[3783007151,2323964937]	[41,-26]	[]	[]	1782565362	7	6	0
!b1610d41	!ac5028ef	[3783007151,2323964937,1128127896,70044471,1725113834]	[41,-26,-28,52,-28]	[]	[]	1782565371	7	6	0
!49479266	!abd38c69	[]	[-36]	[3783007151]	[4]	1782565383	2	1	0
!e17c1baf	!913e2eb6	[1128100024]	[-42,4]	[4134538928]	[47]	1782565417	3	3	0
!e17c1baf	!913e2eb6	[1128100024]	[-42,4]	[]	[]	1782565418	3	3	0
!913e2eb6	!a5b65014	[3783007151,4134538928]	[-46,46]	[]	[]	1782565502	5	4	0
!913e2eb6	!a5b65014	[3783007151,2323964937]	[-46,-22]	[]	[]	1782565503	5	4	0
!913e2eb6	!a5b65014	[3783007151,2323964937,70044471,1725113834]	[-46,-22,46,-29]	[]	[]	1782565510	5	4	0
!a5b65014	!913e2eb6	[3783007151]	[-46,47]	[]	[]	1782565510	3	3	0
!a5b65014	!913e2eb6	[3783007151]	[-46,47]	[4294967295,4134538928]	[-128,44]	1782565517	3	2	0
!a5b65014	!913e2eb6	[3783007151]	[-46,47]	[4294967295,1548600466]	[-128,-41]	1782565517	3	2	0
!a5b65014	!913e2eb6	[3783007151]	[-46,47]	[3783007151,2323964937]	[38,-22]	1782565518	3	2	0
!a5b65014	!913e2eb6	[3783007151]	[-46,47]	[3783007151,2323964937,70044471,1725113834]	[38,-22,46,-30]	1782565519	3	2	0
!a1d75fc4	!7a6f356e	[1780406593,1770251612,1692561267]	[52,-44,38]	[]	[]	1782565796	7	4	0
!a1d75fc4	!7a6f356e	[1780406593,1770251612,1692561267,501821116]	[52,-44,38,-47]	[]	[]	1782565797	7	3	0
!a1d75fc4	!7a6f356e	[1780406593,1770251612,1197648663,501857110]	[52,-44,-33,-5]	[]	[]	1782565798	7	3	0
!f66bb530	!433c7c48	[1151812846,2676575955,4134198428]	[10,24,44,9]	[4134198428,4054302076]	[-1,31]	1782565835	3	1	0
!f66bb530	!cf18ada	[4134198428]	[-33,52]	[181027656,4134198428,4054302076]	[-13,47,25]	1782565836	3	\N	0
!a1d75fc4	!8944a6da	[1780406593,3215555858,1692561267]	[51,-3,45]	[]	[]	1782565976	7	4	0
!abd38c69	!49479266	[4134538928]	[-25]	[]	[]	1782566022	4	4	0
!49479266	!abd38c69	[]	[-42]	[4134538928]	[55]	1782566028	2	2	0
!49479266	!abd38c69	[]	[-42]	[3783007151]	[7]	1782566045	2	1	0
!49479266	!abd38c69	[]	[-42]	[3783007151,2323964937]	[7,-16]	1782566046	2	1	0
!49479266	!abd38c69	[]	[-42]	[3783007151,2323964937,70044471,1725113834]	[7,-16,46,-32]	1782566054	2	1	0
!f6700eb0	!1c714127	[3783007151]	[43]	[]	[]	1782566129	7	6	0
!f6700eb0	!1c714127	[3783007151,2323964937]	[43,-18]	[]	[]	1782566130	7	6	0
!f6700eb0	!1c714127	[3783007151,2323964937,70044471,1725113834]	[43,-18,44,-28]	[]	[]	1782566140	7	6	0
!a1d75fc4	!ed1b5999	[1780406593,1770251612,436431638]	[53,-43,40]	[]	[]	1782566152	7	4	0
!a1d75fc4	!ed1b5999	[1780406593,1770251612,436431638,501821116]	[53,-43,40,-22]	[]	[]	1782566153	7	3	0
!d2e42fd3	!433c7c48	[1151812846,2676575955,80066340,48596208]	[46,17,38,46,36]	[48596208]	[30]	1782566186	4	3	0
!650cd503	!a457ddcd	[463842816]	[49]	[]	[]	1782566515	3	3	0
!abd38c69	!49479266	[4134538928]	[-32]	[]	[]	1782566636	4	4	0
!49479266	!abd38c69	[]	[-21]	[4134538928]	[54]	1782566637	2	2	0
!49479266	!abd38c69	[]	[-21]	[3783007151]	[12]	1782566638	2	1	0
!49479266	!abd38c69	[]	[-21]	[3783007151,2323964937]	[12,-18]	1782566638	2	1	0
!49479266	!abd38c69	[]	[-21]	[1731139699,1548600466]	[-23,-15]	1782566638	2	1	0
!49479266	!abd38c69	[]	[-21]	[3783007151,2323964937,70044471,1725113834]	[12,-18,46,-31]	1782566648	2	1	0
!a1d75fc4	!c4b05f20	[1780406593,2274067141]	[52,-42]	[]	[]	1782566726	7	5	0
!a1d75fc4	!c4b05f20	[1780406593,2274067141,501821116]	[52,-42,10]	[]	[]	1782566727	7	4	0
!a1d75fc4	!c4b05f20	[1780406593,1770251612,1240091804,1197648663,501857110]	[52,-34,-39,-17,7]	[]	[]	1782566739	7	3	0
!f6700eb0	!1ba21c80	[1731139699,1548600466]	[21,-41]	[]	[]	1782567029	7	6	0
!f6700eb0	!1ba21c80	[3783007151,2323964937]	[41,-17]	[]	[]	1782567030	7	6	0
!f6700eb0	!1ba21c80	[3783007151,2323964937,70044471,1725113834]	[41,-17,46,-29]	[]	[]	1782567037	7	6	0
!a1d75fc4	!eb9326c7	[1780406593,1770251612,2274067141]	[52,-30,-28]	[]	[]	1782567046	7	4	0
!a1d75fc4	!eb9326c7	[1780406593,1770251612,1197648663]	[52,-30,-39]	[]	[]	1782567046	7	4	0
!a1d75fc4	!eb9326c7	[1780406593,1770251612,2274067141,501821116]	[52,-30,-28,5]	[]	[]	1782567048	7	3	0
!abd38c69	!e17c1baf	[4134538928]	[-22]	[]	[]	1782567231	4	4	0
!e17c1baf	!abd38c69	[4134577052]	[-38,41]	[4134538928]	[46]	1782567245	3	3	0
!e17c1baf	!abd38c69	[4134577052]	[-38,41]	[]	[]	1782567245	3	3	0
!abd38c69	!672f1873	[4134538928]	[21]	[]	[]	1782567271	4	4	0
!672f1873	!abd38c69	[1229427302]	[-17,-29]	[4134538928]	[39]	1782567286	3	3	0
!672f1873	!abd38c69	[1229427302]	[-17,-29]	[1548600466]	[-29]	1782567294	3	3	0
!a1d75fc4	!f9246972	[48627976]	[-34]	[]	[]	1782567598	7	6	0
!a1d75fc4	!f9246972	[48627976,1770251612,1197648663,501857110]	[-34,24,-31,28]	[]	[]	1782567603	7	3	0
!f6700eb0	!397b77d	[3783007151,2323964937]	[43,-18]	[]	[]	1782567930	7	6	0
!f6700eb0	!397b77d	[3783007151,2323964937,70044471,1725113834]	[43,-18,44,-28]	[]	[]	1782567937	7	6	0
!4063ec8	!433c7c48	[1151812846,2676575955,4134198428]	[50,27,48,40]	[4134198428,4054302076]	[8,20]	1782567985	3	1	0
!a1d75fc4	!bc904758	[1780406593,1130030704,2274067141]	[53,-5,-31]	[]	[]	1782568143	7	4	0
!a1d75fc4	!bc904758	[1780406593,4134126952,3562773560,1770251612,1197648663,501857110]	[53,-31,-26,36,-37,18]	[]	[]	1782568150	7	1	0
!a1d75fc4	!2e60108	[1780406593,1130030704,2274067141]	[52,-24,-41]	[]	[]	1782568315	7	4	0
!a1d75fc4	!2e60108	[1780406593,1130030704,2274067141,501821116]	[52,-24,-41,11]	[]	[]	1782568318	7	3	0
!a1d75fc4	!49ea4c9c	[1780406593,1770251612]	[47,-43]	[]	[]	1782568488	7	5	0
!a1d75fc4	!49ea4c9c	[1780406593,1770251612,501821116]	[47,-43,-27]	[]	[]	1782568489	7	5	0
!49ea4c9c	!a1d75fc4	[1780406593,1770251612]	[47,-43,-41]	[1197648663,501857110]	[-6,-6]	1782568493	4	2	0
!1de92ebc	!a1d75fc4	[1780406593,1770251612]	[49,-35,-22]	[]	[]	1782568681	4	4	0
!a1d75fc4	!1de92ebc	[1780406593,1770251612]	[49,-35]	[]	[]	1782568682	7	5	0
!1de92ebc	!a1d75fc4	[1780406593,1770251612]	[49,-35,-22]	[]	[]	1782568682	4	4	0
!a1d75fc4	!1de92ebc	[1780406593,1770251612,1197648663,501857110]	[49,-35,-48,23]	[]	[]	1782568685	7	3	0
