source_node_id	hour	msgs
!49479266	2026-07-04 11:00:00	14
!49637f26	2026-06-27 12:00:00	5
!49637f26	2026-06-27 13:00:00	4
!49637f26	2026-06-27 14:00:00	20
!49637f26	2026-06-27 15:00:00	18
!49637f26	2026-06-27 16:00:00	18
!49637f26	2026-06-27 17:00:00	16
!49637f26	2026-06-27 18:00:00	20
!49637f26	2026-06-27 19:00:00	10
!49637f26	2026-06-27 20:00:00	12
!49637f26	2026-06-27 21:00:00	13
!49637f26	2026-06-27 22:00:00	5
!49637f26	2026-06-27 23:00:00	2
!49637f26	2026-06-28 00:00:00	8
!49637f26	2026-06-28 01:00:00	12
!49637f26	2026-06-28 02:00:00	6
!49637f26	2026-06-28 03:00:00	11
!49637f26	2026-06-28 04:00:00	10
!49637f26	2026-06-28 05:00:00	9
!49637f26	2026-06-28 06:00:00	13
!49637f26	2026-06-28 07:00:00	10
!49637f26	2026-06-28 08:00:00	9
!49637f26	2026-06-28 09:00:00	12
!49637f26	2026-06-28 10:00:00	20
!49637f26	2026-06-28 11:00:00	15
!49637f26	2026-06-28 12:00:00	22
!49637f26	2026-06-28 13:00:00	28
!49637f26	2026-06-28 14:00:00	34
!49637f26	2026-06-28 15:00:00	22
!49637f26	2026-06-28 16:00:00	22
!49637f26	2026-06-28 17:00:00	14
!49637f26	2026-06-28 18:00:00	30
!49637f26	2026-06-28 19:00:00	34
!49637f26	2026-06-28 20:00:00	28
!49637f26	2026-06-28 21:00:00	18
!49637f26	2026-06-28 22:00:00	30
!49637f26	2026-06-28 23:00:00	16
!49637f26	2026-06-29 00:00:00	16
!49637f26	2026-06-29 01:00:00	34
!49637f26	2026-06-29 02:00:00	36
!49637f26	2026-06-29 03:00:00	32
!49637f26	2026-06-29 04:00:00	28
!49637f26	2026-06-29 05:00:00	28
!49637f26	2026-06-29 06:00:00	20
!49637f26	2026-06-29 07:00:00	28
!49637f26	2026-06-29 08:00:00	22
!49637f26	2026-06-29 09:00:00	36
!49637f26	2026-06-29 10:00:00	30
!49637f26	2026-06-29 11:00:00	18
!49637f26	2026-06-29 19:00:00	8
!49637f26	2026-06-29 20:00:00	32
!49637f26	2026-06-29 21:00:00	36
!49637f26	2026-06-29 22:00:00	36
!49637f26	2026-06-29 23:00:00	52
!49637f26	2026-06-30 00:00:00	32
!49637f26	2026-06-30 01:00:00	40
!49637f26	2026-06-30 02:00:00	34
!49637f26	2026-06-30 03:00:00	28
!49637f26	2026-06-30 04:00:00	48
!49637f26	2026-06-30 05:00:00	42
!49637f26	2026-06-30 06:00:00	36
!49637f26	2026-06-30 07:00:00	48
!49637f26	2026-06-30 08:00:00	40
!49637f26	2026-06-30 09:00:00	36
!49637f26	2026-06-30 10:00:00	46
!49637f26	2026-06-30 11:00:00	42
!49637f26	2026-06-30 12:00:00	28
!49637f26	2026-06-30 13:00:00	28
!49637f26	2026-06-30 14:00:00	34
!49637f26	2026-06-30 15:00:00	36
!49637f26	2026-06-30 16:00:00	34
!49637f26	2026-06-30 17:00:00	44
!49637f26	2026-06-30 18:00:00	48
!49637f26	2026-06-30 19:00:00	34
!49637f26	2026-06-30 20:00:00	20
!49637f26	2026-06-30 21:00:00	38
!49637f26	2026-06-30 22:00:00	44
!49637f26	2026-06-30 23:00:00	50
!49637f26	2026-07-01 00:00:00	38
!49637f26	2026-07-01 01:00:00	58
!49637f26	2026-07-01 02:00:00	68
!49637f26	2026-07-01 03:00:00	62
!49637f26	2026-07-01 04:00:00	98
!49637f26	2026-07-01 05:00:00	46
!49637f26	2026-07-01 06:00:00	56
!49637f26	2026-07-01 07:00:00	72
!49637f26	2026-07-01 08:00:00	64
!49637f26	2026-07-01 09:00:00	66
!49637f26	2026-07-01 10:00:00	70
!49637f26	2026-07-01 11:00:00	76
!49637f26	2026-07-01 12:00:00	46
!49637f26	2026-07-01 13:00:00	58
!49637f26	2026-07-01 14:00:00	68
!49637f26	2026-07-01 15:00:00	54
!49637f26	2026-07-01 16:00:00	58
!49637f26	2026-07-01 17:00:00	60
!49637f26	2026-07-01 18:00:00	42
!49637f26	2026-07-01 19:00:00	34
!49637f26	2026-07-01 20:00:00	74
!49637f26	2026-07-01 21:00:00	70
!49637f26	2026-07-01 22:00:00	90
!49637f26	2026-07-01 23:00:00	44
!49637f26	2026-07-02 00:00:00	40
!49637f26	2026-07-02 01:00:00	38
!49637f26	2026-07-02 02:00:00	38
!49637f26	2026-07-02 03:00:00	62
!49637f26	2026-07-02 04:00:00	72
!49637f26	2026-07-02 05:00:00	32
!49637f26	2026-07-02 06:00:00	36
!49637f26	2026-07-02 07:00:00	42
!49637f26	2026-07-02 08:00:00	40
!49637f26	2026-07-02 09:00:00	44
!49637f26	2026-07-02 10:00:00	50
!49637f26	2026-07-02 11:00:00	22
!49637f26	2026-07-02 12:00:00	14
!49637f26	2026-07-02 13:00:00	22
!49637f26	2026-07-02 14:00:00	36
!49637f26	2026-07-02 15:00:00	36
!49637f26	2026-07-02 16:00:00	38
!49637f26	2026-07-02 17:00:00	28
!49637f26	2026-07-02 18:00:00	26
!49637f26	2026-07-02 19:00:00	32
!49637f26	2026-07-02 20:00:00	30
!49637f26	2026-07-02 21:00:00	34
!49637f26	2026-07-02 22:00:00	28
!49637f26	2026-07-02 23:00:00	28
!49637f26	2026-07-03 00:00:00	24
!49637f26	2026-07-03 01:00:00	32
!49637f26	2026-07-03 02:00:00	28
!49637f26	2026-07-03 03:00:00	26
!49637f26	2026-07-03 04:00:00	38
!49637f26	2026-07-03 05:00:00	34
